model,t1_val_auc,t1_val_acc,t1_test_auc,t1_test_acc,t2_val_auc,t2_val_acc,t2_test_auc,t2_test_acc
CatBoost_r13_BAG_L1,0.6066176470588236,0.5540540540540541,0.7856060606060606,0.7534246575342466,,,,
LightGBM_r96_BAG_L2,0.5676470588235294,0.5540540540540541,0.8227272727272726,0.7534246575342466,0.6455882352941177,0.5675675675675675,0.7446969696969696,0.684931506849315
NeuralNetFastAI_r4_BAG_L2,0.6066176470588236,0.5675675675675675,0.8356060606060606,0.7534246575342466,,,,
LightGBM_r131_BAG_L1,0.6051470588235294,0.5540540540540541,0.7795454545454545,0.7123287671232876,0.6080882352941177,0.527027027027027,0.728030303030303,0.6164383561643836
RandomForest_r166_BAG_L2,0.6066176470588235,0.6081081081081081,0.8238636363636364,0.7808219178082192,,,,
XGBoost_r194_BAG_L2,0.6066176470588235,0.5945945945945946,0.7787878787878788,0.726027397260274,,,,
CatBoost_r6_BAG_L1,0.6036764705882354,0.581081081081081,0.8113636363636363,0.7808219178082192,,,,
LightGBM_r196_BAG_L1,0.6036764705882353,0.5540540540540541,0.8250000000000001,0.7945205479452054,,,,
CatBoost_r60_BAG_L1,0.6036764705882353,0.5540540540540541,0.8212121212121213,0.7534246575342466,,,,
LightGBMXT_BAG_L2,0.5544117647058824,0.5675675675675675,0.7946969696969697,0.7945205479452054,0.6514705882352941,0.581081081081081,0.7416666666666667,0.6712328767123288
RandomForestEntr_BAG_L2,0.5992647058823529,0.5675675675675675,0.7992424242424243,0.7671232876712328,0.6066176470588235,0.5945945945945946,0.6693181818181818,0.6575342465753424
CatBoost_r198_BAG_L1,0.6029411764705882,0.5405405405405406,0.8106060606060606,0.7397260273972602,,,,
XGBoost_BAG_L2,0.6066176470588235,0.5675675675675675,0.7590909090909091,0.726027397260274,0.5985294117647059,0.5675675675675675,0.7234848484848485,0.6301369863013698
LightGBM_r131_BAG_L2,0.5669117647058823,0.6081081081081081,0.7901515151515152,0.7534246575342466,0.6367647058823529,0.5675675675675675,0.753030303030303,0.6438356164383562
XGBoost_r31_BAG_L2,0.6014705882352941,0.6081081081081081,0.7909090909090909,0.7671232876712328,,,,
RandomForest_r195_BAG_L2,0.6003676470588235,0.6216216216216216,0.796969696969697,0.7397260273972602,,,,
CatBoost_r163_BAG_L1,0.6000000000000001,0.5405405405405406,0.8166666666666667,0.726027397260274,,,,
XGBoost_r33_BAG_L2,0.6,0.6081081081081081,0.7818181818181817,0.7397260273972602,,,,
LightGBM_BAG_L1,0.5963235294117648,0.5,0.7931818181818182,0.726027397260274,0.6014705882352941,0.5,0.7265151515151516,0.6712328767123288
ExtraTrees_r4_BAG_L1,0.5985294117647059,0.6621621621621622,0.8181818181818182,0.7123287671232876,,,,
ExtraTrees_r178_BAG_L2,0.5977941176470588,0.5675675675675675,0.8151515151515153,0.8082191780821918,,,,
NeuralNetFastAI_r194_BAG_L2,0.5970588235294116,0.581081081081081,0.8068181818181819,0.7671232876712328,,,,
CatBoost_r86_BAG_L1,0.5963235294117647,0.5405405405405406,0.7765151515151516,0.7534246575342466,,,,
