rank_by_val,model,stack_level,val_auc,val_acc,test_auc,test_acc,n_val,n_test,fit_time,pred_time_val,can_infer
120,CatBoost_r60_BAG_L1,1,0.6036764705882353,0.5540540540540541,0.8212121212121213,0.7534246575342466,74,73,0.91693115234375,0.0145900249481201,True
121,LightGBM_r196_BAG_L1,1,0.6036764705882353,0.5540540540540541,0.8250000000000001,0.7945205479452054,74,73,0.8567297458648682,0.0770137310028076,True
122,CatBoost_r198_BAG_L1,1,0.6029411764705882,0.5405405405405406,0.8106060606060606,0.7397260273972602,74,73,1.35833477973938,0.0336809158325195,True
123,RandomForestGini_BAG_L2,2,0.6018382352941176,0.5945945945945946,0.8170454545454546,0.7671232876712328,74,73,7.975507497787476,0.5912590026855469,True
124,XGBoost_r31_BAG_L2,2,0.6014705882352941,0.6081081081081081,0.7909090909090909,0.7671232876712328,74,73,8.311493396759033,0.655902624130249,True
125,RandomForest_r195_BAG_L2,2,0.6003676470588235,0.6216216216216216,0.796969696969697,0.7397260273972602,74,73,8.746732950210571,0.5799174308776855,True
126,CatBoost_r163_BAG_L1,1,0.6000000000000001,0.5405405405405406,0.8166666666666667,0.726027397260274,74,73,1.113048791885376,0.0186259746551513,True
127,XGBoost_r33_BAG_L2,2,0.6,0.6081081081081081,0.7818181818181817,0.7397260273972602,74,73,8.3095703125,0.6087777614593506,True
128,RandomForestEntr_BAG_L2,2,0.5992647058823529,0.5675675675675675,0.7992424242424243,0.7671232876712328,74,73,8.004728555679321,0.5806987285614014,True
129,ExtraTrees_r4_BAG_L1,1,0.5985294117647059,0.6621621621621622,0.8181818181818182,0.7123287671232876,74,73,0.7422575950622559,0.0308413505554199,True
130,ExtraTrees_r178_BAG_L2,2,0.5977941176470588,0.5675675675675675,0.8151515151515153,0.8082191780821918,74,73,8.451489925384521,0.5837595462799072,True
131,NeuralNetFastAI_r194_BAG_L2,2,0.5970588235294116,0.581081081081081,0.8068181818181819,0.7671232876712328,74,73,10.620782613754272,0.6054139137268066,True
132,LightGBM_BAG_L1,1,0.5963235294117648,0.5,0.7931818181818182,0.726027397260274,74,73,0.6046619415283203,0.0198006629943847,True
133,CatBoost_r86_BAG_L1,1,0.5963235294117647,0.5405405405405406,0.7765151515151516,0.7534246575342466,74,73,2.2274410724639893,0.026376724243164,True
134,LightGBM_r143_BAG_L1,1,0.5948529411764706,0.5405405405405406,0.7840909090909091,0.7123287671232876,74,73,0.5575625896453857,0.0479590892791748,True
135,RandomForest_r15_BAG_L2,2,0.5948529411764706,0.6081081081081081,0.7863636363636364,0.7397260273972602,74,73,8.416526079177856,0.5899460315704346,True
136,LightGBMXT_BAG_L1,1,0.5948529411764706,0.581081081081081,0.796969696969697,0.7534246575342466,74,73,0.2734148502349853,0.1006171703338623,True
137,NeuralNetFastAI_r145_BAG_L2,2,0.5941176470588235,0.5945945945945946,0.7765151515151516,0.726027397260274,74,73,10.976830005645752,0.642890453338623,True
138,XGBoost_r49_BAG_L2,2,0.5926470588235294,0.6081081081081081,0.7803030303030303,0.7534246575342466,74,73,8.246565580368042,0.6086587905883789,True
139,XGBoost_r89_BAG_L2,2,0.5919117647058825,0.6081081081081081,0.7931818181818182,0.7534246575342466,74,73,8.178852081298828,0.5966691970825195,True
140,ExtraTrees_r42_BAG_L2,2,0.5919117647058824,0.581081081081081,0.8071969696969697,0.7945205479452054,74,73,7.973013162612915,0.5822727680206299,True
141,LightGBM_r30_BAG_L2,2,0.5904411764705882,0.5945945945945946,0.803030303030303,0.7808219178082192,74,73,8.351059198379517,0.5687754154205322,True
142,NeuralNetFastAI_r187_BAG_L2,2,0.5904411764705882,0.5945945945945946,0.8227272727272728,0.7808219178082192,74,73,12.022611379623411,0.6353626251220703,True
143,RandomForest_r39_BAG_L2,2,0.5889705882352941,0.6081081081081081,0.7825757575757577,0.726027397260274,74,73,8.330614566802979,0.5815229415893555,True
144,LightGBM_r188_BAG_L1,1,0.588235294117647,0.5135135135135135,0.7946969696969696,0.7534246575342466,74,73,0.5782842636108398,0.0247755050659179,True
145,NeuralNetFastAI_r191_BAG_L2,2,0.5875,0.581081081081081,0.8045454545454546,0.6712328767123288,74,73,11.076517820358276,0.6150798797607422,True
146,ExtraTrees_r172_BAG_L2,2,0.5875,0.5945945945945946,0.8068181818181818,0.7945205479452054,74,73,8.173783540725708,0.5902390480041504,True
147,NeuralNetFastAI_r37_BAG_L2,2,0.5875,0.5945945945945946,0.8356060606060606,0.7808219178082192,74,73,12.428823947906494,0.6761367321014404,True
148,LightGBM_r30_BAG_L1,1,0.5860294117647059,0.5945945945945946,0.7954545454545454,0.7671232876712328,74,73,0.6288509368896484,0.0706753730773925,True
149,CatBoost_BAG_L2,2,0.5852941176470589,0.581081081081081,0.8333333333333334,0.7808219178082192,74,73,9.255598545074465,0.5533130168914795,True
