model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr_BAG_L1,0.6316176470588236,roc_auc,0.08268284797668457,0.6963896751403809,0.08268284797668457,0.6963896751403809,1,True,7
CatBoost_r137_BAG_L1,0.6308823529411766,roc_auc,0.05102229118347168,0.9155950546264648,0.05102229118347168,0.9155950546264648,1,True,18
RandomForest_r34_BAG_L2,0.6301470588235294,roc_auc,0.5806849002838135,8.404761791229248,0.04282093048095703,0.8024210929870605,2,True,137
CatBoost_r12_BAG_L2,0.6297794117647059,roc_auc,0.5698070526123047,10.075220823287964,0.03194308280944824,2.4728801250457764,2,True,166
RandomForest_r195_BAG_L1,0.6294117647058823,roc_auc,0.047995567321777344,2.3845112323760986,0.047995567321777344,2.3845112323760986,1,True,21
XGBoost_r22_BAG_L1,0.6286764705882353,roc_auc,0.08826899528503418,0.5344102382659912,0.08826899528503418,0.5344102382659912,1,True,67
CatBoost_r6_BAG_L2,0.6286764705882353,roc_auc,0.5547695159912109,8.857968091964722,0.016905546188354492,1.2556273937225342,2,True,157
CatBoost_r143_BAG_L2,0.6272058823529412,roc_auc,0.5771903991699219,9.69425916671753,0.03932642936706543,2.091918468475342,2,True,147
NeuralNetFastAI_r138_BAG_L1,0.6272058823529411,roc_auc,0.1029360294342041,3.448429584503174,0.1029360294342041,3.448429584503174,1,True,70
XGBoost_r98_BAG_L1,0.6264705882352941,roc_auc,0.11694765090942383,0.6108388900756836,0.11694765090942383,0.6108388900756836,1,True,40
ExtraTrees_r49_BAG_L1,0.625,roc_auc,0.07454347610473633,1.851677656173706,0.07454347610473633,1.851677656173706,1,True,45
ExtraTreesGini_BAG_L1,0.625,roc_auc,0.08825802803039551,0.6643598079681396,0.08825802803039551,0.6643598079681396,1,True,6
NeuralNetFastAI_r134_BAG_L2,0.625,roc_auc,0.6887466907501221,12.9714195728302,0.15088272094726562,5.369078874588013,2,True,136
LightGBM_r161_BAG_L1,0.6235294117647059,roc_auc,0.028242111206054688,0.6410384178161621,0.028242111206054688,0.6410384178161621,1,True,32
CatBoost_r49_BAG_L2,0.6235294117647059,roc_auc,0.5552527904510498,8.606060266494751,0.01738882064819336,1.0037195682525635,2,True,132
NeuralNetFastAI_r100_BAG_L2,0.6235294117647059,roc_auc,0.6506152153015137,12.627362251281738,0.11275124549865723,5.025021553039551,2,True,169
CatBoost_r180_BAG_L1,0.6227941176470588,roc_auc,0.043201446533203125,1.6423461437225342,0.043201446533203125,1.6423461437225342,1,True,73
